code,name,close,ma5,pct_above
603137,恒尚节能,17.22,14.36,19.92
000562,宏源证券,30.5,25.66,18.86
600793,宜宾纸业,16.01,13.57,17.98
605189,富春染织,16.05,13.63,17.72
002979,雷赛智能,69.55,59.62,16.66
603286,日盈电子,56.96,49.09,16.03
000908,景峰医药,6.88,5.96,15.4
000576,甘化科工,8.14,7.07,15.13
001317,三羊马,48.43,42.22,14.72
603717,天域生物,7.33,6.39,14.71
002396,星网锐捷,23.4,20.47,14.3
002294,信立泰,40.08,35.1,14.18
603338,浙江鼎力,51.67,45.39,13.84
603638,艾迪精密,27.9,24.65,13.19
002747,埃斯顿,44.77,39.56,13.17
002422,科伦药业,47.98,42.47,12.97
000566,海南海药,6.14,5.44,12.87
603725,天安新材,13.9,12.32,12.81
600988,赤峰黄金,31.23,27.69,12.8
000506,招金黄金,13.87,12.31,12.64
002235,安妮股份,9.31,8.27,12.55
603135,中重科技,14.56,12.94,12.48
605488,福莱新材,34.88,31.04,12.36
000700,模塑科技,17.6,15.69,12.2
002772,众兴菌业,13.88,12.37,12.19
002292,奥飞娱乐,7.73,6.9,12.03
002496,辉丰股份,2.23,1.99,11.84
002072,凯瑞德,9.64,8.62,11.78
603466,风语筑,11.63,10.41,11.7
603667,五洲新春,76.15,68.23,11.61
600449,宁夏建材,13.2,11.83,11.56
601069,西部黄金,25.91,23.27,11.36
000975,山金国际,19.84,17.82,11.32
002020,京新药业,15.19,13.66,11.2
002403,爱仕达,10.71,9.64,11.12
002472,双环传动,47.01,42.34,11.03
002988,豪美新材,25.44,22.92,11
001306,夏厦精密,63.29,57.03,10.97
603051,鹿山新材,21.91,19.77,10.84
601177,杭齿前进,14.31,12.92,10.78
000520,凤凰航运,4.55,4.11,10.76
002196,方正电机,13.99,12.64,10.7
003011,海象新材,20.9,18.9,10.56
603337,杰克科技,42.21,38.18,10.56
603730,岱美股份,13,11.76,10.56
002664,信质集团,19.88,18,10.43
002896,中大力德,85.62,77.59,10.35
600376,首开股份,3.81,3.45,10.31
600592,龙溪股份,16.12,14.62,10.24
600580,卧龙电驱,37.35,33.89,10.21
600641,先导基电,47.51,43.14,10.13
002868,绿康生化,26.28,23.87,10.08
001319,铭科精技,22.9,20.8,10.07
600530,交大昂立,5.7,5.18,10.04
000003,PT金田A,2.71,2.46,9.98
603915,国茂股份,16.03,14.58,9.98
002048,宁波华翔,26.22,23.85,9.93
600784,鲁银投资,7.8,7.1,9.86
002931,锋龙股份,75.34,68.62,9.79
603662,柯力传感,80,72.86,9.79
002615,哈尔斯,7.78,7.09,9.76
002050,三花智控,48.99,44.64,9.73
605068,明新旭腾,19.11,17.43,9.64
603682,锦和商管,8.97,8.18,9.6
002981,朝阳科技,21.47,19.59,9.57
002067,景兴纸业,4.2,3.83,9.55
601689,拓普集团,62.43,56.99,9.55
000536,华映科技,3.98,3.63,9.52
002394,联发股份,10.49,9.59,9.43
603416,信捷电气,60.88,55.63,9.43
603728,鸣志电器,68.02,62.17,9.42
605028,世茂能源,24,21.94,9.41
002771,真视通,13.87,12.68,9.38
001337,四川黄金,41.21,37.69,9.34
000916,华北高速,8.82,8.07,9.27
603178,圣龙股份,15.68,14.35,9.27
002765,蓝黛科技,7.91,7.24,9.19
603518,锦泓集团,8.19,7.5,9.17
603608,天创时尚,25.98,23.8,9.15
603278,大业股份,12.11,11.1,9.14
600546,山煤国际,12.66,11.6,9.1
603596,伯特利,27.65,25.35,9.09
000534,万泽股份,32.01,29.35,9.06
000542,TCL通讯,27.34,25.08,9.03
603165,荣晟环保,14.7,13.49,9
002520,日发精机,7.72,7.08,8.98
605288,凯迪股份,95.18,87.36,8.96
002377,国创高新,2.85,2.62,8.94
003030,祖名股份,23.4,21.48,8.93
002345,潮宏基,10.52,9.66,8.9
003028,振邦智能,24.61,22.6,8.87
000850,华茂股份,4.04,3.71,8.84
600143,金发科技,17.01,15.63,8.82
002249,大洋电机,8.33,7.66,8.8
002148,北纬科技,6.56,6.03,8.79
603119,浙江荣泰,74.81,68.77,8.78
002635,安洁科技,23.36,21.48,8.73
603809,豪能股份,9.82,9.04,8.63
002801,微光股份,31.09,28.62,8.62
002677,浙江美大,6.23,5.74,8.61
