code,name,now,close_20250407,close_20240923,pct_avg_drop
002594,比亚迪,88.47,321.76,250,69.05
000403,派林生物,9.29,24.1,20.05,57.92
603392,万泰生物,28.62,63.3,69.24,56.81
600325,华发股份,2.36,4.84,5.52,54.44
000002,万科A,3.09,6.6,6.93,54.32
603567,珍宝岛,4.79,10.16,9.91,52.27
603277,银都股份,10.84,20.75,24.05,51.61
003001,中岩大地,13.73,34.55,21.03,50.59
601567,三星电气,14.63,25.66,32.41,49.61
000736,中交发展,3.96,4.79,10.68,48.8
003005,竞业达,13.61,29.17,23.05,47.87
600383,金地集团,2.19,4.26,4.01,47.04
603529,爱玛科技,20.01,42.73,32.45,46.77
002855,捷荣技术,9.67,16.25,18.85,44.9
000525,红太阳,4.08,6.23,8.52,44.68
002572,索菲亚,7.9,15.18,13.36,44.64
000526,学大教育,27.46,49.35,49.1,44.22
605368,蓝天燃气,6.39,10.47,12.25,43.75
000096,广聚能源,7.32,17.06,8.84,43.47
603195,公牛集团,38.01,67.98,66.25,43.37
001323,慕思股份,16.8,30.56,28.42,43.03
600373,中文传媒,6.73,10.39,13.23,43.01
603801,志邦家居,5.69,10.34,9.57,42.84
600161,天坛生物,12.18,22.02,20.5,42.71
600048,保利发展,4.68,7.93,8.08,41.54
600422,昆药集团,8.27,15.8,12.1,40.72
000999,华润三九,24.03,42.92,38,40.61
603596,伯特利,27.65,53.56,39.06,40.29
002791,坚朗五金,13.71,23.81,22.01,40.16
603833,欧派家居,32.32,60.62,46.83,39.84
603108,润达医疗,9.5,17.87,13.65,39.72
603556,海兴电力,22.9,30.47,45.09,39.39
603707,健友股份,7.64,12.33,12.57,38.63
000625,长安汽车,7.24,11.59,12,38.62
002889,东方嘉盛,11.28,19.91,16.67,38.33
002535,林州重机,2.38,4.48,3.23,38.26
002749,国光股份,8.16,14.83,11.59,38.23
605009,豪悦护理,25.46,46.05,35.83,37.81
002984,森麒麟,13.63,20.56,23.13,37.61
600611,大众交通,3.86,5.63,6.73,37.54
002221,东华能源,5.41,9.05,8.22,37.35
002045,国光电器,7.99,14.15,11.1,36.71
600720,中交设计,5.04,7.63,8.23,36.44
000564,供销大集,1.39,2.59,1.78,36.38
603737,三棵树,24.61,47.93,29.32,36.28
002982,湘佳股份,12.06,23.46,14.29,36.11
003006,百亚股份,14.92,23.72,22.88,35.97
601127,赛力斯,61.84,113.8,77.82,35.46
603836,海程邦达,8.35,13.57,11.9,34.43
601633,长城汽车,15.37,22.52,24.1,34.06
600217,中再资环,2.98,4.51,4.52,34
601019,山东出版,6.92,9.37,11.57,33.91
600657,信达地产,2.36,3.85,3.27,33.71
000913,钱江摩托,10.59,15.44,16.5,33.69
601865,福莱特,10.19,15.75,14.82,33.33
600845,宝信软件,18.25,26.04,28.29,32.82
603871,嘉友国际,11.11,13.48,19.54,32.71
603027,千禾味业,7.09,10.4,10.57,32.38
603258,电魂网络,12.14,19.96,15.94,32.37
000786,北新建材,18.1,28.34,25.02,32.16
000785,居然智家,2.05,3.75,2.29,32.12
002991,甘源食品,41.59,69.74,52.23,31.8
601966,玲珑轮胎,10.74,15.2,16.29,31.79
605108,同庆楼,11.94,18.84,16.07,31.6
600976,健民集团,29.31,44.21,41.46,31.57
603348,文灿股份,14.18,20.89,20.42,31.35
000948,南天信息,12.04,15.88,19.19,31.34
605333,沪光股份,18.05,28.08,24.44,31.26
600129,太极集团,14.09,19.96,21.03,31.25
600612,老凤祥,34.13,46.94,52.32,31.23
603499,翔港科技,13.88,24.02,16.33,31.2
002075,沙钢股份,3.45,5.38,4.64,31.14
600733,北汽蓝谷,4.87,7.63,6.5,31.07
600438,通威股份,11.8,16.76,17.43,30.97
000707,双环科技,4.42,6.35,6.43,30.83
002252,上海莱士,4.61,6.82,6.51,30.83
002862,实丰文化,13.31,23.84,14.52,30.6
000868,安凯客车,3.45,5.62,4.29,30.37
003028,振邦智能,24.61,42.15,28.53,30.36
002869,金溢科技,16.34,23.91,22.8,30.04
002543,万和电气,6.46,9.73,8.72,29.97
600992,贵绳股份,9.4,12.77,14.07,29.96
002274,华昌化工,4.91,7.1,6.88,29.76
003032,传智教育,5.41,6.81,8.56,29.6
000503,国新健康,6.32,10.44,7.48,29.46
605369,拱东医疗,18.6,25.3,27.43,29.45
600085,同仁堂,23.36,34.79,31.35,29.36
600375,汉马科技,3.91,5.89,5.17,29.29
601238,广汽集团,5.25,7.49,7.36,29.29
002385,大北农,2.9,4.34,3.85,29.18
001979,招商蛇口,6.65,9.11,9.65,29.1
600536,中国软件,28.39,45.23,34.82,29.07
002016,世荣兆业,4.09,5.36,6.17,29.05
002180,奔图科技,16.37,21.81,24.25,28.92
600518,康美药业,1.29,1.9,1.71,28.53
000521,长虹美菱,5.88,7.06,9.38,28.47
002368,太极股份,13.78,22.59,15.85,28.3
002035,华帝股份,4.68,6.46,6.52,27.89
002987,京北方,9.96,16.64,10.94,27.77
002737,葵花药业,12.53,16.3,18.39,27.76
603927,中科软,12.86,19.08,16.48,27.67
600609,金杯汽车,3.26,5.18,3.82,27.56
601595,上海电影,16.76,28.35,17.61,27.07
601366,利群股份,3.44,4.34,5.05,26.73
002410,广联达,8.38,13.26,9.59,26.65
003038,鑫铂股份,11.38,18.99,12.04,26.65
600746,江苏索普,5.44,8.81,6.02,26.64
600073,光明肉业,4.94,7.49,5.97,26.6
002088,鲁阳节能,7.99,11.91,9.85,26.56
600508,上海能源,8.11,10.94,11.13,26.51
000876,新希望,6.78,10.2,8.24,26.46
002238,天威视讯,5.54,7.6,7.44,26.33
600138,中青旅,6.79,9.31,9.1,26.24
603117,万林物流,3.62,5.45,4.36,26.2
603208,江山欧派,11.14,13.92,16.25,26.15
605577,龙版传媒,9.19,12.56,12.29,26.04
601800,中国交建,5.93,8.68,7.32,25.88
002707,众信旅游,4.95,7.27,6.07,25.79
601965,中国汽研,12.54,17.55,16.24,25.78
603883,老百姓,11.47,17.22,13.69,25.78
000888,峨眉山A,9.32,13.68,11.4,25.68
600009,上海机场,22.92,30.66,31.02,25.68
600248,陕建股份,2.77,3.9,3.55,25.64
603866,桃李面包,3.87,5.27,5.13,25.58
601006,大秦铁路,4.69,6.47,6.11,25.44
002557,洽洽食品,19.34,24.29,27.31,25.04
002567,唐人神,3.51,4.79,4.57,25
600661,昂立教育,7.54,9.32,10.73,24.79
002073,软控股份,5.44,7.78,6.67,24.71
000761,本钢板材,2.2,3.4,2.44,24.66
600694,大商股份,14.15,22.73,14.83,24.65
002607,中公教育,1.9,2.9,2.14,24.6
603896,寿仙谷,14.15,18.6,18.93,24.59
001965,招商公路,9.35,12.79,11.98,24.51
600850,电科数字,14.96,21.92,17.7,24.48
605555,德昌股份,13.7,20.21,16.05,24.43
002003,伟星股份,8.78,10.72,12.48,24.31
600894,广日股份,7.94,10.69,10.29,24.31
600229,城市传媒,4.8,6.22,6.46,24.29
600861,北京人力,12.6,19.77,13.48,24.21
601098,中南传媒,10.22,14.3,12.67,24.21
000721,西安饮食,5.68,8.26,6.71,24.11
000937,冀中能源,4.27,5.57,5.66,23.95
001236,弘业期货,7.34,8.99,10.3,23.9
002508,老板电器,15.22,21.34,18.65,23.88
000715,中兴商业,4.78,7.61,4.91,23.64
000560,我爱我家,2.12,2.79,2.76,23.6
600038,中直股份,26.21,33.86,34.73,23.57
002032,苏泊尔,42.04,56.55,53.33,23.48
600123,兰花科创,5.74,6.92,8.08,23.47
600603,广汇物流,4.59,6.78,5.19,23.31
000998,隆平高科,7.75,10.97,9.22,23.23
000818,航锦科技,14.58,23.03,14.94,23.2
000802,北京文化,3.61,4.17,5.2,22.95
603325,博隆技术,56.13,86.5,59.18,22.94
603357,设计总院,6.37,8.86,7.67,22.93
603636,南威软件,8,11.61,9.15,22.93
600963,岳阳林纸,3.18,4.24,4.01,22.91
603605,珀莱雅,59.91,76.25,79,22.82
605128,上海沿浦,24.28,37.35,25.55,22.8
